Price ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Interval,Interval Count,Usage Type,Tax Behavior
price_1P09YdLJkZ8mI1nvjcKaUasF,"Tiger, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09YcLJkZ8mI1nvNn0OvwMt,"Tiger, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09YcLJkZ8mI1nv5FZggMay,"Tiger, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09YbLJkZ8mI1nvlnVMAIkU,"Tiger, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09YaLJkZ8mI1nvRVZmYzi0,"Tiger, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09YZLJkZ8mI1nvNzWcCiQl,"Tiger, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09YZLJkZ8mI1nvRK4KGMLG,"Tiger, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09YYLJkZ8mI1nvu6mEK3Wx,"Doodle Mini, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09YXLJkZ8mI1nvOIIB3VSn,"Doodle Mini, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09YWLJkZ8mI1nvyOWqNjsQ,"Doodle Mini, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09YWLJkZ8mI1nvAwcemRHo,"Doodle Mini, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09YVLJkZ8mI1nvIK7X68zk,"Doodle Mini, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09YULJkZ8mI1nvL5P6Wu16,"Doodle Mini, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09YULJkZ8mI1nvgAxhiiu6,"Doodle Mini, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09YTLJkZ8mI1nvmXzk6nyv,"Doodle Mini, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09YSLJkZ8mI1nvVR55IlOi,"Doodle Mini, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09YRLJkZ8mI1nvkAGbabi9,"Doodle Mini, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09YRLJkZ8mI1nvFavHo05U,"Doodle Mini, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09YQLJkZ8mI1nvGmY550ux,"Doodle Mini, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09YPLJkZ8mI1nv9bOG0lwR,"Doodle Mini, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09YOLJkZ8mI1nvdGnChCm7,"Doodle Mini, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09YOLJkZ8mI1nvE5dCwusc,"Doodle Mini, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09YNLJkZ8mI1nv50f0LXMz,"Fuscia, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09YMLJkZ8mI1nvUFckjVtm,"Fuscia, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09YLLJkZ8mI1nvtsrPl030,"Fuscia, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09YLLJkZ8mI1nvF1PZzC7r,"Fuscia, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09YKLJkZ8mI1nv90bEkkGu,"Fuscia, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09YJLJkZ8mI1nvsXdRR2EO,"Fuscia, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09YILJkZ8mI1nvaKVR4rSt,"Fuscia, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09YILJkZ8mI1nvWjlsYiM1,"Fuscia, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09YHLJkZ8mI1nvG7dhXiv5,"Fuscia, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09YGLJkZ8mI1nvyDtJDD1X,"Fuscia, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09YFLJkZ8mI1nvMJXiR20m,"Fuscia, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09YFLJkZ8mI1nvwfeRyAKv,"Fuscia, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09YELJkZ8mI1nvSfgWprGQ,"Fuscia, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09YDLJkZ8mI1nvXi3C84s8,"Fuscia, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09YDLJkZ8mI1nvkWEJDeTN,"Fuscia, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09MmLJkZ8mI1nv1A2cvuBa,"Star Path, EU 39 (US 7 Youth)",,,,,,,unspecified
price_1P09MlLJkZ8mI1nvf1sXWS7o,"Star Path, EU 38 (US 6 Youth)",,,,,,,unspecified
price_1P09MkLJkZ8mI1nv8VrXY6jA,"Star Path, EU 37 (US 5 Youth)",,,,,,,unspecified
price_1P09MkLJkZ8mI1nvIX8mQEwk,"Star Path, EU 36 (US 4 Youth)",,,,,,,unspecified
price_1P09MjLJkZ8mI1nv5JemVdy7,"Star Path, EU 35 (US 3.5 Youth)",,,,,,,unspecified
price_1P09MiLJkZ8mI1nvXcTmWVxc,"Star Path, EU 34 (US 3 Youth)",,,,,,,unspecified
price_1P09MiLJkZ8mI1nv1GVNN0Ux,"Star Path, EU 33 (US 2 Youth)",,,,,,,unspecified
price_1P09MhLJkZ8mI1nvhFbY32t7,"Star Path, EU 32 (US 1 Youth)",,,,,,,unspecified
